created_at,description,retweeted,followers_count,retweeted,id,id_str,in_reply_to_user_id_str,in_reply_to_screen_name,truncated,timestamp_ms,contributors,coordinates,lang,place,favorited,retweet_count,source,in_reply_to_status_id,geo,in_reply_to_status_id_str,is_quote_status,favorite_count,filter_level,in_reply_to_user_id,possibly_sensitive,extended_entities
Fri Feb 05 15:05:14 +0000 2016,,False,,False,695624228729724928,695624228729724928,,,False,1454684714859,,,en,,False,0,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624229828472833,695624229828472833,,,False,1454684715121,,,th,,False,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624230889598976,695624230889598976,,,False,1454684715374,,,ja,,False,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624230906564608,695624230906564608,,,False,1454684715378,,,en,,False,0,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 103, 'resize': 'fit', 'h': 140}, 'large': {'w': 103, 'resize': 'fit', 'h': 140}, 'small': {'w': 103, 'resize': 'fit', 'h': 140}, 'thumb': {'w': 104, 'resize': 'crop', 'h': 140}}, 'id_str': '695624230600372224', 'indices': [120, 143], 'display_url': 'pic.twitter.com/uuFb2bC2m4', 'media_url_https': 'https://pbs.twimg.com/media/CadajVoW8AANpzV.jpg', 'expanded_url': 'http://twitter.com/Yearfu__Tionqe/status/695624230906564608/photo/1', 'media_url': 'http://pbs.twimg.com/media/CadajVoW8AANpzV.jpg', 'id': 695624230600372224, 'url': 'https://t.co/uuFb2bC2m4', 'type': 'photo'}]}"
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624231619588096,695624231619588096,118099300,pipiixx,False,1454684715548,,,es,,False,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",694963507695988736,,694963507695988736,False,0,low,118099300,,
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624232127107072,695624232127107072,,,False,1454684715669,,,en,,False,0,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 400, 'resize': 'fit', 'h': 400}, 'large': {'w': 400, 'resize': 'fit', 'h': 400}, 'small': {'w': 340, 'resize': 'fit', 'h': 340}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}}, 'id_str': '695624232013791232', 'indices': [94, 117], 'display_url': 'pic.twitter.com/jLzI4s66jC', 'media_url_https': 'https://pbs.twimg.com/media/Cadaja5WAAAr5GA.jpg', 'expanded_url': 'http://twitter.com/BorisDocherty/status/695624232127107072/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cadaja5WAAAr5GA.jpg', 'id': 695624232013791232, 'url': 'https://t.co/jLzI4s66jC', 'type': 'photo'}]}"
Fri Feb 05 15:05:15 +0000 2016,,False,,False,695624233276346369,695624233276346369,,,False,1454684715943,,,en,,False,0,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 140, 'resize': 'fit', 'h': 105}, 'large': {'w': 140, 'resize': 'fit', 'h': 105}, 'small': {'w': 140, 'resize': 'fit', 'h': 105}, 'thumb': {'w': 140, 'resize': 'crop', 'h': 105}}, 'id_str': '695624233137864704', 'indices': [117, 140], 'display_url': 'pic.twitter.com/s2dH24bTLz', 'media_url_https': 'https://pbs.twimg.com/media/CadajfFWAAA071w.jpg', 'expanded_url': 'http://twitter.com/Yearfu__Tionqe/status/695624233276346369/photo/1', 'media_url': 'http://pbs.twimg.com/media/CadajfFWAAA071w.jpg', 'id': 695624233137864704, 'url': 'https://t.co/s2dH24bTLz', 'type': 'photo'}]}"
Fri Feb 05 15:05:16 +0000 2016,,False,,False,695624234861617155,695624234861617155,,,False,1454684716321,,,en,,False,0,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,False,0,low,,False,
Fri Feb 05 15:05:16 +0000 2016,,False,,False,695624233754296321,695624233754296321,,,False,1454684716057,,,ja,,False,0,"<a href=""http://app-lis.com"" rel=""nofollow"">Book Twitter</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 170, 'resize': 'fit', 'h': 170}, 'large': {'w': 170, 'resize': 'fit', 'h': 170}, 'small': {'w': 170, 'resize': 'fit', 'h': 170}, 'thumb': {'w': 150, 'resize': 'crop', 'h': 150}}, 'id_str': '695624233615896576', 'indices': [91, 114], 'display_url': 'pic.twitter.com/LykaJgpQXN', 'media_url_https': 'https://pbs.twimg.com/media/Cadajg3UMAAO9qF.jpg', 'expanded_url': 'http://twitter.com/_bookxx/status/695624233754296321/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cadajg3UMAAO9qF.jpg', 'id': 695624233615896576, 'url': 'https://t.co/LykaJgpQXN', 'type': 'photo'}]}"
Fri Feb 05 15:05:16 +0000 2016,,False,,False,695624235885195265,695624235885195265,,,False,1454684716565,,,en,,False,0,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,False,0,low,,False,"{'media': [{'sizes': {'medium': {'w': 102, 'resize': 'fit', 'h': 140}, 'large': {'w': 102, 'resize': 'fit', 'h': 140}, 'small': {'w': 102, 'resize': 'fit', 'h': 140}, 'thumb': {'w': 102, 'resize': 'crop', 'h': 140}}, 'id_str': '695624235763548160', 'indices': [116, 139], 'display_url': 'pic.twitter.com/KwztFJE5D6', 'media_url_https': 'https://pbs.twimg.com/media/Cadajo3WwAAByVv.jpg', 'expanded_url': 'http://twitter.com/Yearfu__Tionqe/status/695624235885195265/photo/1', 'media_url': 'http://pbs.twimg.com/media/Cadajo3WwAAByVv.jpg', 'id': 695624235763548160, 'url': 'https://t.co/KwztFJE5D6', 'type': 'photo'}]}"
